gene_id,sf1,sf2,sf3,sl1,sl2,sl3
PEQU_32184,871,1507,919,1104,1136,965
PEQU_32180,146,150,49,5,0,0
PEQU_32181,0,0,0,0,0,0
PEQU_32183,71,200,213,429,487,417
PEQU_30972,237,130,185,363,424,416
PEQU_30970,265,279,157,279,255,281
PEQU_30977,341,562,367,66,152,68
PEQU_30976,21486,26337,23424,0,0,0
PEQU_30975,0,0,0,0,0,0
PEQU_30974,0,0,0,0,0,0
PEQU_11072,191,325,262,731,818,783
PEQU_11071,1044,1600,863,2877,3760,2888
PEQU_11070,0,0,0,12,5,0
PEQU_11077,1627,3069,2879,3293,3310,3270
PEQU_11079,127,257,81,0,10,22
PEQU_15763,0,0,0,0,0,0
PEQU_15762,494,381,364,238,346,261
PEQU_15760,449,619,587,973,850,785
PEQU_15766,679,976,743,617,742,632
PEQU_15765,2,0,0,0,0,0
PEQU_15769,855,987,718,640,775,560
PEQU_19796,0,0,0,0,0,0
PEQU_19797,11,0,6,20,9,8
PEQU_19794,0,0,0,0,0,0
PEQU_33276,0,0,0,0,0,0
PEQU_33271,0,0,0,0,0,0
PEQU_26359,0,0,0,0,0,0
PEQU_33273,957,1306,979,958,885,752
PEQU_26354,0,0,0,0,0,0
PEQU_26355,0,0,0,0,0,0
PEQU_26356,0,0,0,0,0,0
PEQU_26357,0,0,0,0,0,0
PEQU_33279,125,162,118,379,334,264
PEQU_33278,0,2,0,5,0,4
PEQU_26353,173,242,112,194,147,150
PEQU_36987,0,0,0,0,0,0
PEQU_36988,0,0,1,0,0,0
PEQU_36989,0,0,0,0,0,0
PEQU_10849,0,0,0,0,0,0
PEQU_10848,0,0,0,0,0,0
PEQU_10841,0,0,0,0,0,0
PEQU_10840,0,0,0,0,0,0
PEQU_10842,0,0,0,0,0,0
PEQU_10844,247,460,455,461,515,491
PEQU_10847,487,858,861,5842,6432,5620
PEQU_10846,0,0,0,0,0,0
PEQU_39707,0,0,0,0,0,0
PEQU_39705,0,0,4,0,0,0
PEQU_39704,0,0,3,0,0,0
PEQU_29009,2394,2450,1578,2427,2666,2232
PEQU_29008,0,0,0,0,0,0
PEQU_29005,1753,3411,2243,2938,3045,2530
PEQU_29006,0,0,0,0,0,0
PEQU_39702,0,0,0,0,0,0
PEQU_34729,0,0,0,0,0,0
PEQU_34722,6555,3664,5583,6450,6260,5600
PEQU_34723,2591,2549,1697,1587,1923,1593
PEQU_34721,700,638,481,3905,4587,3886
PEQU_34726,1464,2666,2266,2890,3456,2487
PEQU_34724,1927,2877,1835,5777,5166,5112
PEQU_34725,0,0,0,0,0,0
